,a,b,e,c,d
900,6,0,-6,6,1
901,6,0,-6,6,1
902,6,0,-6,6,1
903,6,0,-6,6,1
904,6,0,-6,6,1
905,6,0,-6,6,1
906,6,0,-6,6,1
907,6,0,-6,6,1
908,6,0,-6,6,1
909,6,0,-6,6,1
910,6,0,-6,6,1
911,6,0,-6,6,1
912,6,0,-6,6,1
913,6,0,-6,6,1
914,6,0,-6,6,1
915,6,0,-6,6,1
916,6,0,-6,6,1
917,6,0,-6,6,1
918,6,0,-6,6,1
919,6,0,-6,6,1
920,6,0,-6,6,1
921,6,0,-6,6,1
922,6,0,-6,6,1
923,-8,0,-7,-8,1
924,-8,0,-7,-8,1
925,-8,0,-7,-8,1
926,-8,0,-7,-8,1
927,-8,0,-7,-8,1
928,-8,0,-7,-8,1
929,-8,0,-7,-8,1
930,-8,0,-7,-8,1
931,-8,0,-7,-8,1
932,-8,0,-7,-8,1
933,-8,0,-7,-8,1
934,-8,0,-7,-8,1
935,-8,0,-7,-8,1
936,-8,0,-7,-8,1
937,-8,0,-7,-8,1
938,-8,0,-7,-8,1
939,-8,0,-7,-8,1
940,-8,0,-7,-8,1
941,-8,0,-7,-8,1
942,-8,0,-7,-8,1
943,-8,0,-7,-8,1
944,-8,0,-7,-8,1
945,-8,0,-7,-8,1
946,-8,0,-7,-8,1
947,-8,0,-7,-8,1
948,-8,0,-7,-8,1
949,-8,0,-7,-8,1
950,-8,0,-7,-8,1
951,-8,0,-7,-8,1
952,-8,0,-7,-8,1
953,-8,0,-7,-8,1
954,-8,0,-7,-8,1
955,-8,0,-7,-8,1
956,-8,0,-7,-8,1
957,-8,0,-7,-8,1
958,-8,0,-7,-8,1
959,-8,0,-7,-8,1
960,-8,0,-7,-8,1
961,-8,0,-7,-8,1
962,-8,0,-7,-8,1
963,-8,0,-7,-8,1
964,-8,0,-7,-8,1
965,-8,0,-7,-8,1
966,-8,0,-7,-8,1
967,-8,0,-7,-8,1
968,-8,0,-7,-8,1
969,-8,0,-7,-8,1
970,-8,0,-7,-8,1
971,1,0,3,1,1
972,1,0,3,1,1
973,1,0,3,1,1
974,1,0,3,1,1
975,1,0,3,1,1
976,1,0,3,1,1
977,1,0,3,1,1
978,1,0,3,1,1
979,1,0,3,1,1
980,1,0,3,1,1
981,1,0,3,1,1
982,1,0,3,1,1
983,1,0,3,1,1
984,1,0,3,1,1
985,1,0,3,1,1
986,1,0,3,1,1
987,1,0,3,1,1
988,1,0,3,1,1
989,1,0,3,1,1
990,1,0,3,1,1
991,1,0,3,1,1
992,1,0,3,1,1
993,1,0,3,1,1
994,1,0,3,1,1
995,1,0,3,1,1
996,1,0,3,1,1
997,1,0,3,1,1
998,1,0,3,1,1
999,1,0,3,1,1
1000,1,0,3,1,1
1001,1,0,3,1,1
1002,1,0,3,1,1
1003,1,0,3,1,1
1004,1,0,3,1,1
1005,1,0,3,1,1
1006,1,0,3,1,1
1007,1,0,3,1,1
1008,1,0,3,1,1
1009,1,0,3,1,1
1010,1,0,3,1,1
1011,1,0,3,1,1
1012,1,0,3,1,1
1013,1,0,3,1,1
1014,1,0,3,1,1
1015,1,0,3,1,1
1016,1,0,3,1,1
1017,1,0,3,1,1
1018,1,0,3,1,1
1019,1,0,3,1,1
1020,-5,0,9,-5,1
1021,-5,0,9,-5,1
1022,-5,0,9,-5,1
1023,-5,0,9,-5,1
1024,-5,0,9,-5,1
1025,-5,0,9,-5,1
1026,-5,0,9,-5,1
1027,-5,0,9,-5,1
1028,-5,0,9,-5,1
1029,-5,0,9,-5,1
1030,-5,0,9,-5,1
1031,-5,0,9,-5,1
1032,-5,0,9,-5,1
1033,-5,0,9,-5,1
